,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_multi_class,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,76.76555180549622,26.25019901329719,11.058055321375528,12.463511165251056,10,ovr,"{'C': 10, 'multi_class': 'ovr'}",0.8364,0.8294,0.8375,0.8344333333333332,0.0035873233599564023,4
1,46.081320921579994,10.17402028776758,11.855125029881796,15.35494722964867,10,multinomial,"{'C': 10, 'multi_class': 'multinomial'}",0.8426,0.84195,0.84205,0.8422000000000001,0.00028577380332472447,1
2,90.49640933672588,26.06573372052738,24.121628681818645,14.203525955342075,100,ovr,"{'C': 100, 'multi_class': 'ovr'}",0.8297,0.82315,0.83265,0.8285,0.003970096556340474,6
3,84.42747449874878,32.28319352668132,5.8349220752716064,4.511639446987692,100,multinomial,"{'C': 100, 'multi_class': 'multinomial'}",0.8395,0.82415,0.84125,0.8349666666666667,0.007681832825280403,3
4,6.6666882038116455,3.0504699994425133,1.0065135955810547,0.6758128149737038,0.1,ovr,"{'C': 0.1, 'multi_class': 'ovr'}",0.83225,0.83575,0.82885,0.8322833333333334,0.0028170118131728866,5
5,4.67892050743103,3.298911063858131,0.08808588981628418,0.04619345531605131,0.1,multinomial,"{'C': 0.1, 'multi_class': 'multinomial'}",0.84075,0.83675,0.84145,0.8396500000000001,0.002070426687102616,2
