,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,51.65000430742899,18.166797358010648,6.444305419921875,5.441237721357681,10,saga,"{'C': 10, 'solver': 'saga'}",0.83475,0.8355,0.84055,0.8369333333333334,0.002575633686860173,2
1,64.95481657981873,8.975584840599845,12.613929271697998,17.473734868347098,10,newton-cg,"{'C': 10, 'solver': 'newton-cg'}",0.6282,0.6186,0.62985,0.6255499999999999,0.004960342730094347,4
2,66.09061320622762,10.498843679184393,1.9943842887878418,1.7640235417540233,100,saga,"{'C': 100, 'solver': 'saga'}",0.83835,0.84145,0.83325,0.8376833333333334,0.003380663971602154,1
3,83.47486893335979,10.811843219037888,0.14637009302775064,0.00980518186965662,100,newton-cg,"{'C': 100, 'solver': 'newton-cg'}",0.6282,0.6186,0.62985,0.6255499999999999,0.004960342730094347,4
4,2.2623310883839927,0.8081386761383258,0.055866082509358726,0.007039989316403043,0.1,saga,"{'C': 0.1, 'solver': 'saga'}",0.83315,0.83565,0.8381,0.8356333333333333,0.002020863401838161,3
5,1.6845995585123699,0.6785515816146493,0.06649692853291829,0.0221076329394081,0.1,newton-cg,"{'C': 0.1, 'solver': 'newton-cg'}",0.6282,0.6186,0.62985,0.6255499999999999,0.004960342730094347,4
